"NumeroOperation";"DateOperation";"NumeroCompte";"LibelleOperation";"Montant"
1500;"2017-01-07";"118";"Facture carte";"-14.46"
1501;"2017-01-07";"42";"Facture carte";"-91.3"
1502;"2017-01-07";"138";"Facture carte";"-159.11"
1503;"2017-01-07";"33";"Facture carte";"-148.3"
1504;"2017-01-07";"80";"Prélévement automatique";"-47.11"
1505;"2017-01-07";"179";"Prélévement automatique";"-104.79"
1506;"2017-01-07";"13";"Virement";"1260.53"
1507;"2017-01-07";"153";"Facture carte";"-63.03"
1508;"2017-01-07";"125";"Encaissement chèque 028961";"235.64"
1509;"2017-01-07";"2";"Facture carte";"-129.64"
1510;"2017-01-07";"17";"Virement";"73.25"
1511;"2017-01-07";"17";"Facture carte";"-123.56"
1512;"2017-01-07";"44";"Facture carte";"-184.37"
1513;"2017-01-07";"33";"Virement";"1044.54"
1514;"2017-01-07";"34";"Virement";"-122.14"
1515;"2017-01-07";"88";"Prélévement automatique";"-187.57"
1516;"2017-01-07";"168";"Encaissement chèque 933809";"251.54"
1517;"2017-01-07";"171";"Encaissement chèque 738504";"40.77"
1518;"2017-01-07";"104";"Virement";"1398.76"
1519;"2017-01-07";"50";"Prélévement automatique";"-75.27"
1520;"2017-01-07";"158";"Facture carte";"-103.03"
1521;"2017-01-07";"80";"Prélévement automatique";"-155.84"
1522;"2017-01-07";"91";"Encaissement chèque 861584";"-319.39"
1523;"2017-01-07";"134";"Encaissement chèque 501785";"-191.93"
1524;"2017-01-07";"138";"Virement";"712.94"
1525;"2017-01-07";"161";"Virement";"-104.38"
1526;"2017-01-07";"172";"Facture carte";"-34.09"
1527;"2017-01-07";"136";"Virement";"1573.24"
1528;"2017-01-08";"179";"Facture carte";"-11.52"
1529;"2017-01-08";"103";"Virement";"1060.06"
1530;"2017-01-08";"64";"Facture carte";"-148.92"
1531;"2017-01-08";"191";"Intérets reversés au capital";"2219.71"
1532;"2017-01-08";"17";"Facture carte";"-176.25"
1533;"2017-01-08";"13";"Facture carte";"-154.06"
1534;"2017-01-08";"162";"Virement";"486.9"
1535;"2017-01-08";"125";"Facture carte";"-13.62"
1536;"2017-01-08";"168";"Facture carte";"-82.69"
1537;"2017-01-08";"109";"Virement";"659.49"
1538;"2017-01-08";"136";"Facture carte";"-192.97"
1539;"2017-01-08";"190";"Encaissement chèque 367282";"322.96"
1540;"2017-01-08";"74";"Encaissement chèque 992064";"391.24"
1541;"2017-01-08";"1";"Prélévement automatique";"-130.89"
1542;"2017-01-08";"73";"Virement";"876.72"
1543;"2017-01-08";"3";"Encaissement chèque 287960";"-256.36"
1544;"2017-01-08";"2";"Virement";"516.79"
1545;"2017-01-08";"166";"Facture carte";"-158.39"
1546;"2017-01-08";"42";"Prélévement automatique";"-149.15"
1547;"2017-01-08";"56";"Prélévement automatique";"-140.63"
1548;"2017-01-08";"33";"Virement";"1055.62"
1549;"2017-01-08";"150";"Facture carte";"-189.13"
1550;"2017-01-08";"6";"Versement forfaitaire";"151.94"
1551;"2017-01-08";"34";"Prélévement automatique";"-154.13"
1552;"2017-01-08";"50";"Prélévement automatique";"-159.52"
1553;"2017-01-08";"131";"Virement";"1110.92"
1554;"2017-01-08";"141";"Intérets reversés au capital";"2315.91"
1555;"2017-01-08";"150";"Prélévement automatique";"-112.83"
1556;"2017-01-08";"13";"Virement";"1404.7"
1557;"2017-01-08";"183";"Facture carte";"-177.17"
1558;"2017-01-08";"137";"Encaissement chèque 316051";"138.5"
1559;"2017-01-08";"48";"Facture carte";"-91.52"
1560;"2017-01-08";"63";"Virement";"-422.02"
1561;"2017-01-08";"87";"Encaissement chèque 986389";"325.15"
1562;"2017-01-08";"135";"Versement forfaitaire";"324.87"
1563;"2017-01-08";"161";"Facture carte";"-115.51"
1564;"2017-01-08";"23";"Encaissement chèque 949783";"-105.37"
1565;"2017-01-08";"131";"Virement";"120.75"
1566;"2017-01-08";"101";"Facture carte";"-79.32"
1567;"2017-01-08";"137";"Virement";"60.93"
1568;"2017-01-08";"121";"Virement";"-47.19"
1569;"2017-01-08";"134";"Virement";"1473.62"
1570;"2017-01-08";"107";"Versement forfaitaire";"140.79"
1571;"2017-01-08";"193";"Encaissement chèque 780966";"-39.87"
1572;"2017-01-08";"183";"Encaissement chèque 092106";"-250.82"
1573;"2017-01-08";"174";"Intérets reversés au capital";"2155.71"
1574;"2017-01-08";"56";"Encaissement chèque 528375";"-259.51"
1575;"2017-01-08";"171";"Virement";"-282.21"
1576;"2017-01-08";"153";"Facture carte";"-189.64"
1577;"2017-01-08";"87";"Virement";"681.13"
1578;"2017-01-08";"34";"Facture carte";"-120.83"
1579;"2017-01-08";"93";"Intérets reversés au capital";"2689.71"
1580;"2017-01-08";"172";"Virement";"-57.93"
1581;"2017-01-08";"73";"Facture carte";"-166.5"
1582;"2017-01-08";"30";"Virement";"698.19"
1583;"2017-01-08";"103";"Prélévement automatique";"-83.83"
1584;"2017-01-08";"91";"Encaissement chèque 058011";"-246.66"
1585;"2017-01-08";"143";"Facture carte";"-179.49"
1586;"2017-01-08";"15";"Encaissement chèque 328869";"688.65"
1587;"2017-01-08";"108";"Virement";"-428.67"
1588;"2017-01-08";"87";"Prélévement automatique";"-156.24"
1589;"2017-01-08";"143";"Facture carte";"-141.65"
1590;"2017-01-08";"180";"Versement forfaitaire";"321.07"
1591;"2017-01-08";"109";"Facture carte";"-189.48"
1592;"2017-01-08";"131";"Facture carte";"-183.88"
1593;"2017-01-08";"19";"Prélévement automatique";"-179.76"
1594;"2017-01-08";"167";"Prélévement automatique";"-100.43"
1595;"2017-01-08";"44";"Prélévement automatique";"-118.17"
1596;"2017-01-08";"183";"Prélévement automatique";"-127.51"
1597;"2017-01-08";"41";"Encaissement chèque 645752";"393.92"
1598;"2017-01-08";"40";"Encaissement chèque 908583";"656.21"
1599;"2017-01-08";"94";"Facture carte";"-3.01"
1600;"2017-01-08";"13";"Facture carte";"-106.81"
1601;"2017-01-08";"48";"Facture carte";"-38.91"
1602;"2017-01-08";"44";"Encaissement chèque 480338";"145.29"
1603;"2017-01-08";"23";"Virement";"557.69"
1604;"2017-01-08";"153";"Prélévement automatique";"-156.77"
1605;"2017-01-08";"132";"Virement";"1285.35"
1606;"2017-01-08";"28";"Versement forfaitaire";"395.13"
1607;"2017-01-08";"3";"Prélévement automatique";"-52.0"
1608;"2017-01-08";"57";"Prélévement automatique";"-78.96"
1609;"2017-01-08";"56";"Virement";"660.64"
1610;"2017-01-08";"2";"Prélévement automatique";"-84.04"
1611;"2017-01-08";"143";"Prélévement automatique";"-156.68"
1612;"2017-01-08";"136";"Facture carte";"-179.91"
1613;"2017-01-08";"111";"Prélévement automatique";"-49.18"
1614;"2017-01-08";"87";"Prélévement automatique";"-92.06"
1615;"2017-01-08";"164";"Facture carte";"-196.92"
1616;"2017-01-08";"41";"Virement";"1102.15"
1617;"2017-01-08";"143";"Facture carte";"-5.06"
1618;"2017-01-08";"1";"Virement";"1475.24"
1619;"2017-01-08";"118";"Prélévement automatique";"-113.51"
1620;"2017-01-08";"57";"Encaissement chèque 680073";"-118.34"
1621;"2017-01-08";"179";"Virement";"130.79"
1622;"2017-01-08";"2";"Encaissement chèque 496566";"202.96"
1623;"2017-01-08";"12";"Prélévement automatique";"-78.78"
1624;"2017-01-08";"187";"Encaissement chèque 882775";"198.4"
1625;"2017-01-08";"122";"Encaissement chèque 687794";"64.33"
1626;"2017-01-08";"132";"Facture carte";"-141.61"
1627;"2017-01-08";"179";"Facture carte";"-176.12"
1628;"2017-01-08";"101";"Facture carte";"-134.23"
1629;"2017-01-08";"158";"Virement";"-214.17"
1630;"2017-01-08";"136";"Facture carte";"-109.05"
1631;"2017-01-08";"41";"Prélévement automatique";"-46.56"
1632;"2017-01-08";"36";"Prélévement automatique";"-90.81"
1633;"2017-01-08";"58";"Prélévement automatique";"-26.11"
1634;"2017-01-08";"88";"Prélévement automatique";"-181.97"
1635;"2017-01-08";"58";"Encaissement chèque 395263";"-377.55"
1636;"2017-01-08";"50";"Prélévement automatique";"-99.87"
1637;"2017-01-08";"158";"Encaissement chèque 027191";"292.76"
1638;"2017-01-08";"73";"Encaissement chèque 222201";"275.37"
1639;"2017-01-08";"23";"Prélévement automatique";"-28.22"
1640;"2017-01-08";"118";"Virement";"1497.67"
1641;"2017-01-08";"36";"Encaissement chèque 152328";"-142.31"
1642;"2017-01-08";"3";"Facture carte";"-187.62"
1643;"2017-01-08";"41";"Encaissement chèque 834815";"-385.79"
1644;"2017-01-08";"105";"Virement";"-177.27"
1645;"2017-01-08";"131";"Virement";"927.76"
1646;"2017-01-08";"150";"Prélévement automatique";"-38.6"
1647;"2017-01-08";"172";"Virement";"1470.27"
1648;"2017-01-08";"131";"Prélévement automatique";"-67.51"
1649;"2017-01-08";"132";"Facture carte";"-94.79"
1650;"2017-01-08";"8";"Encaissement chèque 466082";"310.18"
1651;"2017-01-08";"5";"Intérets reversés au capital";"2601.13"
1652;"2017-01-08";"44";"Virement";"-250.42"
1653;"2017-01-08";"132";"Facture carte";"-143.32"
1654;"2017-01-08";"23";"Facture carte";"-95.92"
1655;"2017-01-08";"131";"Facture carte";"-144.63"
1656;"2017-01-08";"51";"Versement forfaitaire";"225.65"
1657;"2017-01-08";"186";"Virement";"1058.2"
1658;"2017-01-08";"111";"Encaissement chèque 155352";"93.31"
1659;"2017-01-08";"13";"Facture carte";"-65.87"
1660;"2017-01-08";"28";"Intérets reversés au capital";"60.79"
1661;"2017-01-08";"8";"Facture carte";"-147.13"
1662;"2017-01-08";"150";"Prélévement automatique";"-170.56"
1663;"2017-01-08";"103";"Prélévement automatique";"-91.9"
1664;"2017-01-08";"47";"Intérets reversés au capital";"3204.97"
1665;"2017-01-08";"136";"Encaissement chèque 393117";"340.84"
1666;"2017-01-08";"73";"Facture carte";"-74.2"
1667;"2017-01-08";"1";"Virement";"21.06"
1668;"2017-01-08";"153";"Prélévement automatique";"-74.29"
1669;"2017-01-08";"57";"Prélévement automatique";"-75.28"
1670;"2017-01-08";"112";"Encaissement chèque 535214";"-376.91"
1671;"2017-01-08";"88";"Virement";"793.16"
1672;"2017-01-08";"101";"Encaissement chèque 181205";"-51.1"
1673;"2017-01-08";"104";"Encaissement chèque 526771";"33.82"
1674;"2017-01-08";"168";"Facture carte";"-189.46"
1675;"2017-01-08";"33";"Prélévement automatique";"-192.94"
1676;"2017-01-08";"131";"Facture carte";"-53.83"
1677;"2017-01-08";"88";"Prélévement automatique";"-174.06"
1678;"2017-01-08";"143";"Virement";"957.35"
1679;"2017-01-08";"58";"Virement";"500.8"
1680;"2017-01-08";"105";"Encaissement chèque 046696";"-54.27"
1681;"2017-01-08";"36";"Encaissement chèque 075305";"301.22"
1682;"2017-01-08";"25";"Virement";"583.56"
1683;"2017-01-08";"56";"Facture carte";"-79.73"
1684;"2017-01-08";"103";"Facture carte";"-136.05"
1685;"2017-01-08";"158";"Facture carte";"-35.33"
1686;"2017-01-08";"36";"Facture carte";"-165.65"
1687;"2017-01-08";"166";"Facture carte";"-194.54"
1688;"2017-01-08";"123";"Virement";"239.56"
1689;"2017-01-08";"179";"Encaissement chèque 262467";"269.66"
1690;"2017-01-08";"187";"Facture carte";"-77.15"
1691;"2017-01-08";"137";"Prélévement automatique";"-22.93"
1692;"2017-01-08";"179";"Facture carte";"-145.15"
1693;"2017-01-08";"75";"Facture carte";"-16.88"
1694;"2017-01-08";"23";"Virement";"433.04"
1695;"2017-01-08";"131";"Facture carte";"-179.85"
1696;"2017-01-08";"56";"Encaissement chèque 131499";"-240.59"
1697;"2017-01-08";"50";"Facture carte";"-18.81"
1698;"2017-01-08";"23";"Facture carte";"-96.64"
1699;"2017-01-08";"167";"Facture carte";"-15.78"
1700;"2017-01-08";"64";"Prélévement automatique";"-178.63"
1701;"2017-01-08";"41";"Encaissement chèque 726006";"239.33"
1702;"2017-01-08";"91";"Prélévement automatique";"-75.98"
1703;"2017-01-08";"13";"Encaissement chèque 585588";"57.12"
1704;"2017-01-08";"166";"Facture carte";"-28.99"
1705;"2017-01-08";"168";"Virement";"1510.78"
1706;"2017-01-08";"48";"Prélévement automatique";"-52.79"
1707;"2017-01-08";"112";"Encaissement chèque 228688";"276.09"
1708;"2017-01-08";"131";"Prélévement automatique";"-64.41"
1709;"2017-01-08";"109";"Facture carte";"-194.17"
1710;"2017-01-08";"183";"Prélévement automatique";"-156.64"
1711;"2017-01-08";"34";"Virement";"342.05"
1712;"2017-01-08";"94";"Encaissement chèque 188274";"-2.27"
1713;"2017-01-08";"109";"Prélévement automatique";"-90.07"
1714;"2017-01-08";"88";"Virement";"-14.34"
1715;"2017-01-08";"158";"Prélévement automatique";"-80.49"
1716;"2017-01-08";"105";"Virement";"142.6"
1717;"2017-01-08";"172";"Prélévement automatique";"-114.24"
1718;"2017-01-08";"168";"Virement";"485.82"
1719;"2017-01-08";"164";"Facture carte";"-122.71"
1720;"2017-01-08";"44";"Virement";"1265.58"
1721;"2017-01-08";"187";"Prélévement automatique";"-171.63"
1722;"2017-01-08";"125";"Prélévement automatique";"-145.47"
1723;"2017-01-08";"88";"Prélévement automatique";"-182.28"
1724;"2017-01-08";"172";"Prélévement automatique";"-134.55"
1725;"2017-01-08";"80";"Encaissement chèque 515276";"-265.03"
1726;"2017-01-08";"138";"Virement";"1350.04"
1727;"2017-01-08";"153";"Encaissement chèque 982486";"200.3"
1728;"2017-01-08";"75";"Virement";"-142.62"
1729;"2017-01-08";"19";"Encaissement chèque 635259";"271.39"
1730;"2017-01-08";"94";"Prélévement automatique";"-142.36"
1731;"2017-01-08";"187";"Encaissement chèque 747658";"45.04"
1732;"2017-01-08";"11";"Facture carte";"-21.05"
1733;"2017-01-08";"2";"Prélévement automatique";"-66.99"
1734;"2017-01-08";"75";"Prélévement automatique";"-195.62"
1735;"2017-01-08";"171";"Virement";"755.02"
1736;"2017-01-08";"8";"Prélévement automatique";"-79.93"
1737;"2017-01-08";"2";"Encaissement chèque 618916";"157.3"
1738;"2017-01-08";"17";"Prélévement automatique";"-184.93"
1739;"2017-01-08";"101";"Encaissement chèque 076219";"-215.42"
1740;"2017-01-09";"172";"Virement";"1196.55"
1741;"2017-01-09";"34";"Prélévement automatique";"-163.43"
1742;"2017-01-09";"73";"Virement";"720.62"
1743;"2017-01-09";"2";"Prélévement automatique";"-187.81"
1744;"2017-01-09";"153";"Encaissement chèque 973587";"-46.04"
1745;"2017-01-09";"64";"Facture carte";"-95.18"
1746;"2017-01-09";"42";"Prélévement automatique";"-28.91"
1747;"2017-01-09";"36";"Prélévement automatique";"-160.51"
1748;"2017-01-09";"143";"Facture carte";"-77.21"
1749;"2017-01-09";"58";"Virement";"1173.84"
1750;"2017-01-09";"104";"Prélévement automatique";"-110.9"
1751;"2017-01-09";"111";"Virement";"59.42"
1752;"2017-01-09";"61";"Intérets reversés au capital";"3482.95"
1753;"2017-01-09";"137";"Virement";"1362.67"
1754;"2017-01-09";"33";"Prélévement automatique";"-93.76"
1755;"2017-01-09";"161";"Prélévement automatique";"-86.98"
1756;"2017-01-09";"182";"Virement";"243.27"
1757;"2017-01-09";"136";"Facture carte";"-90.58"
1758;"2017-01-09";"153";"Virement";"878.09"
1759;"2017-01-09";"42";"Prélévement automatique";"-112.71"
1760;"2017-01-09";"91";"Facture carte";"-65.68"
1761;"2017-01-09";"136";"Encaissement chèque 520227";"328.02"
1762;"2017-01-09";"179";"Virement";"763.19"
1763;"2017-01-09";"51";"Encaissement chèque 687723";"256.75"
1764;"2017-01-09";"2";"Facture carte";"-154.04"
1765;"2017-01-09";"36";"Virement";"-52.8"
1766;"2017-01-09";"125";"Facture carte";"-167.24"
1767;"2017-01-09";"48";"Prélévement automatique";"-37.97"
1768;"2017-01-09";"187";"Encaissement chèque 844584";"184.23"
1769;"2017-01-09";"88";"Virement";"1455.87"
1770;"2017-01-09";"80";"Facture carte";"-198.79"
1771;"2017-01-09";"168";"Prélévement automatique";"-157.82"
1772;"2017-01-09";"87";"Prélévement automatique";"-41.04"
1773;"2017-01-09";"91";"Facture carte";"-60.6"
1774;"2017-01-09";"143";"Encaissement chèque 546571";"22.38"
1775;"2017-01-09";"131";"Prélévement automatique";"-90.38"
1776;"2017-01-09";"186";"Encaissement chèque 339262";"-214.25"
1777;"2017-01-09";"23";"Virement";"425.89"
1778;"2017-01-09";"75";"Virement";"1018.92"
1779;"2017-01-09";"104";"Facture carte";"-37.68"
1780;"2017-01-09";"158";"Facture carte";"-157.32"
1781;"2017-01-09";"12";"Virement";"619.65"
1782;"2017-01-09";"179";"Encaissement chèque 269322";"265.59"
1783;"2017-01-09";"164";"Facture carte";"-47.09"
1784;"2017-01-09";"153";"Facture carte";"-146.34"
1785;"2017-01-09";"87";"Facture carte";"-186.13"
1786;"2017-01-09";"150";"Encaissement chèque 839971";"-374.3"
1787;"2017-01-09";"1";"Facture carte";"-112.91"
1788;"2017-01-09";"94";"Encaissement chèque 929283";"395.47"
1789;"2017-01-09";"118";"Prélévement automatique";"-96.03"
1790;"2017-01-09";"13";"Prélévement automatique";"-74.45"
1791;"2017-01-09";"87";"Facture carte";"-36.0"
1792;"2017-01-09";"44";"Encaissement chèque 834757";"257.26"
1793;"2017-01-09";"144";"Intérets reversés au capital";"1502.06"
1794;"2017-01-09";"17";"Facture carte";"-36.93"
1795;"2017-01-09";"172";"Virement";"1089.58"
1796;"2017-01-09";"30";"Prélévement automatique";"-153.7"
1797;"2017-01-09";"125";"Virement";"626.67"
1798;"2017-01-09";"168";"Facture carte";"-49.56"
1799;"2017-01-09";"88";"Facture carte";"-199.73"
1800;"2017-01-09";"19";"Virement";"1358.07"
1801;"2017-01-09";"80";"Prélévement automatique";"-92.53"
1802;"2017-01-09";"87";"Facture carte";"-173.18"
1803;"2017-01-09";"50";"Prélévement automatique";"-60.37"
1804;"2017-01-09";"87";"Virement";"1444.05"
1805;"2017-01-09";"131";"Virement";"-144.63"
1806;"2017-01-09";"174";"Encaissement chèque 901951";"492.89"
1807;"2017-01-09";"12";"Facture carte";"-81.13"
1808;"2017-01-09";"13";"Virement";"-9.05"
1809;"2017-01-09";"161";"Prélévement automatique";"-79.1"
1810;"2017-01-09";"33";"Facture carte";"-173.14"
1811;"2017-01-09";"122";"Virement";"653.29"
1812;"2017-01-09";"150";"Prélévement automatique";"-174.36"
1813;"2017-01-09";"30";"Prélévement automatique";"-103.14"
1814;"2017-01-09";"186";"Prélévement automatique";"-135.5"
1815;"2017-01-09";"11";"Virement";"53.41"
1816;"2017-01-09";"91";"Prélévement automatique";"-69.61"
1817;"2017-01-09";"41";"Prélévement automatique";"-188.63"
1818;"2017-01-09";"36";"Virement";"1490.42"
1819;"2017-01-09";"103";"Facture carte";"-95.53"
1820;"2017-01-09";"19";"Virement";"1590.03"
1821;"2017-01-09";"109";"Facture carte";"-31.13"
1822;"2017-01-09";"109";"Prélévement automatique";"-129.97"
1823;"2017-01-09";"105";"Facture carte";"-154.21"
1824;"2017-01-09";"73";"Encaissement chèque 600089";"68.41"
1825;"2017-01-09";"7";"Virement";"416.24"
1826;"2017-01-09";"58";"Facture carte";"-8.42"
1827;"2017-01-09";"58";"Prélévement automatique";"-107.13"
1828;"2017-01-09";"103";"Virement";"334.6"
1829;"2017-01-09";"41";"Encaissement chèque 419369";"105.32"
1830;"2017-01-09";"17";"Virement";"760.33"
1831;"2017-01-09";"166";"Facture carte";"-70.81"
1832;"2017-01-09";"131";"Encaissement chèque 089294";"-240.17"
1833;"2017-01-09";"50";"Prélévement automatique";"-158.67"
1834;"2017-01-09";"153";"Facture carte";"-53.08"
1835;"2017-01-09";"156";"Versement forfaitaire";"112.27"
1836;"2017-01-09";"143";"Encaissement chèque 323554";"-44.62"
1837;"2017-01-09";"158";"Virement";"1199.68"
1838;"2017-01-09";"162";"Intérets reversés au capital";"1846.26"
1839;"2017-01-09";"164";"Virement";"1407.6"
1840;"2017-01-09";"195";"Virement";"925.3"
1841;"2017-01-09";"58";"Facture carte";"-20.52"
1842;"2017-01-09";"105";"Facture carte";"-186.93"
1843;"2017-01-09";"150";"Prélévement automatique";"-199.91"
1844;"2017-01-09";"30";"Prélévement automatique";"-197.84"
1845;"2017-01-09";"193";"Facture carte";"-4.43"
1846;"2017-01-09";"8";"Encaissement chèque 495739";"156.67"
1847;"2017-01-09";"36";"Prélévement automatique";"-63.07"
1848;"2017-01-09";"12";"Encaissement chèque 458111";"166.22"
1849;"2017-01-09";"193";"Virement";"-41.48"
1850;"2017-01-09";"12";"Virement";"591.59"
1851;"2017-01-09";"86";"Versement forfaitaire";"174.72"
1852;"2017-01-09";"86";"Intérets reversés au capital";"2536.27"
1853;"2017-01-09";"23";"Encaissement chèque 311697";"-26.4"
1854;"2017-01-09";"44";"Prélévement automatique";"-187.7"
1855;"2017-01-09";"112";"Facture carte";"-82.56"
1856;"2017-01-09";"166";"Encaissement chèque 649491";"212.88"
1857;"2017-01-09";"179";"Encaissement chèque 407322";"-308.26"
1858;"2017-01-09";"171";"Prélévement automatique";"-117.7"
1859;"2017-01-09";"104";"Encaissement chèque 646024";"-30.97"
1860;"2017-01-09";"166";"Virement";"1582.64"
1861;"2017-01-09";"12";"Prélévement automatique";"-103.08"
1862;"2017-01-09";"132";"Encaissement chèque 397539";"-155.79"
1863;"2017-01-09";"88";"Virement";"873.96"
1864;"2017-01-09";"143";"Virement";"-269.96"
1865;"2017-01-09";"183";"Prélévement automatique";"-42.22"
1866;"2017-01-09";"161";"Prélévement automatique";"-65.6"
1867;"2017-01-09";"172";"Encaissement chèque 126834";"80.03"
1868;"2017-01-09";"23";"Facture carte";"-62.8"
1869;"2017-01-09";"167";"Virement";"374.65"
1870;"2017-01-09";"44";"Encaissement chèque 688277";"37.28"
1871;"2017-01-09";"103";"Facture carte";"-86.13"
1872;"2017-01-09";"136";"Facture carte";"-155.73"
1873;"2017-01-09";"171";"Virement";"1281.8"
1874;"2017-01-09";"171";"Facture carte";"-172.57"
1875;"2017-01-09";"56";"Facture carte";"-82.01"
1876;"2017-01-09";"42";"Virement";"1217.62"
1877;"2017-01-09";"64";"Encaissement chèque 521348";"-340.9"
1878;"2017-01-09";"105";"Prélévement automatique";"-152.92"
1879;"2017-01-09";"104";"Facture carte";"-64.46"
1880;"2017-01-09";"74";"Encaissement chèque 292300";"588.21"
1881;"2017-01-09";"153";"Virement";"871.98"
1882;"2017-01-09";"41";"Encaissement chèque 849710";"-242.19"
1883;"2017-01-09";"104";"Encaissement chèque 286856";"-193.03"
1884;"2017-01-09";"64";"Prélévement automatique";"-174.74"
1885;"2017-01-09";"87";"Virement";"1253.43"
1886;"2017-01-09";"30";"Prélévement automatique";"-160.09"
1887;"2017-01-09";"132";"Encaissement chèque 477167";"-21.6"
1888;"2017-01-09";"73";"Facture carte";"-187.91"
1889;"2017-01-09";"44";"Encaissement chèque 498772";"-281.93"
1890;"2017-01-09";"94";"Encaissement chèque 356130";"245.87"
1891;"2017-01-09";"118";"Virement";"170.09"
1892;"2017-01-09";"179";"Virement";"935.94"
1893;"2017-01-09";"132";"Encaissement chèque 809911";"253.26"
1894;"2017-01-09";"158";"Prélévement automatique";"-88.45"
1895;"2017-01-09";"131";"Encaissement chèque 529834";"69.24"
1896;"2017-01-09";"75";"Facture carte";"-93.97"
1897;"2017-01-09";"73";"Facture carte";"-87.21"
1898;"2017-01-09";"88";"Facture carte";"-18.19"
1899;"2017-01-09";"11";"Facture carte";"-123.26"
1900;"2017-01-09";"58";"Virement";"251.47"
1901;"2017-01-09";"168";"Encaissement chèque 916736";"-204.29"
1902;"2017-01-09";"195";"Virement";"153.26"
1903;"2017-01-09";"33";"Virement";"630.06"
1904;"2017-01-09";"85";"Encaissement chèque 298762";"248.99"
1905;"2017-01-09";"25";"Facture carte";"-95.84"
1906;"2017-01-09";"168";"Facture carte";"-5.94"
1907;"2017-01-09";"111";"Prélévement automatique";"-105.34"
1908;"2017-01-09";"8";"Prélévement automatique";"-128.34"
1909;"2017-01-09";"143";"Prélévement automatique";"-164.62"
1910;"2017-01-09";"138";"Encaissement chèque 223550";"17.73"
1911;"2017-01-09";"172";"Virement";"24.68"
1912;"2017-01-09";"150";"Prélévement automatique";"-51.0"
1913;"2017-01-09";"186";"Prélévement automatique";"-120.72"
1914;"2017-01-09";"109";"Encaissement chèque 446151";"-363.18"
1915;"2017-01-09";"179";"Prélévement automatique";"-174.91"
1916;"2017-01-09";"140";"Versement forfaitaire";"215.88"
1917;"2017-01-09";"12";"Virement";"1553.43"
1918;"2017-01-09";"57";"Virement";"775.6"
1919;"2017-01-09";"33";"Virement";"1107.45"
1920;"2017-01-09";"158";"Encaissement chèque 142365";"213.35"
1921;"2017-01-09";"171";"Prélévement automatique";"-109.34"
1922;"2017-01-09";"17";"Facture carte";"-47.81"
1923;"2017-01-09";"164";"Prélévement automatique";"-93.09"
1924;"2017-01-09";"179";"Virement";"520.08"
1925;"2017-01-09";"80";"Prélévement automatique";"-72.37"
1926;"2017-01-09";"57";"Virement";"-120.48"
1927;"2017-01-09";"42";"Encaissement chèque 506296";"-167.63"
1928;"2017-01-09";"11";"Prélévement automatique";"-124.03"
1929;"2017-01-09";"136";"Prélévement automatique";"-52.37"
1930;"2017-01-09";"34";"Prélévement automatique";"-134.25"
1931;"2017-01-09";"30";"Encaissement chèque 110509";"118.75"
1932;"2017-01-09";"2";"Prélévement automatique";"-122.33"
1933;"2017-01-09";"131";"Encaissement chèque 817708";"54.13"
1934;"2017-01-09";"60";"Virement";"43.63"
1935;"2017-01-09";"8";"Prélévement automatique";"-47.28"
1936;"2017-01-09";"58";"Facture carte";"-153.74"
1937;"2017-01-09";"183";"Encaissement chèque 331271";"-46.07"
1938;"2017-01-09";"179";"Encaissement chèque 155523";"256.79"
1939;"2017-01-09";"73";"Virement";"1081.69"
1940;"2017-01-09";"80";"Virement";"929.74"
1941;"2017-01-09";"44";"Facture carte";"-100.58"
1942;"2017-01-09";"136";"Prélévement automatique";"-35.78"
1943;"2017-01-09";"105";"Facture carte";"-178.62"
1944;"2017-01-09";"132";"Prélévement automatique";"-155.01"
1945;"2017-01-09";"138";"Virement";"964.29"
1946;"2017-01-09";"17";"Encaissement chèque 701320";"272.74"
1947;"2017-01-09";"73";"Prélévement automatique";"-63.24"
1948;"2017-01-09";"33";"Facture carte";"-186.87"
1949;"2017-01-09";"158";"Virement";"297.33"
1950;"2017-01-09";"150";"Virement";"1324.95"
1951;"2017-01-09";"87";"Facture carte";"-174.19"
1952;"2017-01-09";"111";"Virement";"730.33"
1953;"2017-01-09";"44";"Prélévement automatique";"-99.13"
1954;"2017-01-09";"150";"Encaissement chèque 441356";"-29.27"
1955;"2017-01-09";"56";"Prélévement automatique";"-39.8"
1956;"2017-01-09";"58";"Prélévement automatique";"-139.43"
1957;"2017-01-09";"44";"Virement";"1345.19"
1958;"2017-01-09";"193";"Encaissement chèque 516969";"110.39"
1959;"2017-01-10";"48";"Encaissement chèque 100254";"327.28"
1960;"2017-01-10";"64";"Prélévement automatique";"-116.36"
1961;"2017-01-10";"193";"Facture carte";"-16.11"
1962;"2017-01-10";"109";"Prélévement automatique";"-92.34"
1963;"2017-01-10";"168";"Virement";"1427.44"
1964;"2017-01-10";"75";"Facture carte";"-120.53"
1965;"2017-01-10";"171";"Prélévement automatique";"-28.82"
1966;"2017-01-10";"112";"Virement";"366.32"
1967;"2017-01-10";"58";"Prélévement automatique";"-174.02"
1968;"2017-01-10";"102";"Versement forfaitaire";"190.17"
1969;"2017-01-10";"168";"Facture carte";"-90.42"
1970;"2017-01-10";"30";"Prélévement automatique";"-88.46"
1971;"2017-01-10";"109";"Prélévement automatique";"-22.26"
1972;"2017-01-10";"42";"Encaissement chèque 081745";"-30.3"
1973;"2017-01-10";"58";"Prélévement automatique";"-126.68"
